Date,Available,Missing,Complete
2013-07-21,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-22,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-23,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-24,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-25,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-26,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-27,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-28,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-29,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-30,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-31,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-01,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-02,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-03,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-04,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-05,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-06,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-07,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-08,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-09,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-10,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-11,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-12,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-13,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
