Date,Complete_band_set,Source_valid_pct,Core_valid_pct,Night_pct,Cloud_mask_medium_high_pct,Confident_clear_pct,Probably_clear_pct,Probably_cloudy_pct,Confident_cloudy_pct,Cloudy_pct,Shadow_pct,Cirrus_pct,Snow_ice_pct,QF_DNB_good_pct,Strict_observable_pct,Inclusive_observable_pct,Strict_observable_pixels,Land_water_change_pct,Radiance_all_median,Radiance_strict_p25,Radiance_strict_median,Radiance_strict_p75,Radiance_strict_p95,Sensor_zenith_abs_p25,Sensor_zenith_abs_median,Sensor_zenith_abs_p75,Sensor_zenith_abs_p90,Sensor_azimuth_circular_mean,Sensor_azimuth_resultant,UTC_time_p25,UTC_time_median,UTC_time_p75,Moon_illumination_pct,Granule_mode,Granule_unique_count,QF_Substitute_calibration_pct,QF_Out_of_range_pct,QF_Saturation_pct,QF_Temperature_not_nominal_pct,QF_Stray_light_pct,QF_Bowtie_deleted_pct,QF_Missing_EV_pct,QF_Calibration_failure_pct,QF_Dead_detector_pct,Days_from_event
2013-07-08,True,100.0,100.0,100.0,100.0,76.81115548741785,7.63717324011054,1.5965705469352682,13.95510072553634,15.551671272471609,0.0,20.843301727420975,0.0,100.0,76.81115548741785,78.74461706719266,78660,3.9753141875067137,0.05,0.0400000005960464,0.05,0.05,0.0800000011920929,0.5236000061035156,0.5359999847412109,0.5447000122070312,0.5515000152587891,359.2080166825095,0.9999999992043016,17.769636154174805,17.772293090820312,17.774456024169922,0.0040000000596046,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123
2013-07-09,True,100.0,100.0,100.0,100.0,80.1019461560245,7.54245315261652,1.3221752419268211,11.033425449432167,12.355600691358989,0.0,2.2010214145517395,0.0,100.0,80.1019461560245,87.6043629829992,82030,3.792709482750203,0.0400000005960464,0.0400000005960464,0.0400000005960464,0.05,0.0600000023841857,0.2720999908447266,0.293700008392334,0.3082999992370605,0.3198999977111816,359.19818501374795,0.9999999965620556,17.456268310546875,17.458892822265625,17.461055755615234,0.0209999990463256,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122
2013-07-10,True,100.0,100.0,100.0,100.0,0.2109230814299804,2.9617116017459746,1.1747243840753074,95.65264093274874,96.82736531682404,0.0,97.61051490620758,0.0,100.0,0.2109230814299804,0.4247756501020437,216,3.6237757184567463,0.0300000011920928,0.0200000002980232,0.0300000011920928,0.0300000011920928,0.0300000011920928,0.0607999992370605,0.0788000011444091,0.1043000030517578,0.1247000026702881,0.979448688556829,0.9999985983343612,17.142498016357422,17.145122528076172,17.14728546142578,0.0551000022888183,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121
2013-07-11,True,100.0,100.0,100.0,100.0,0.243147441092894,1.0028611325397678,0.2548653900612262,98.49912603630612,98.75399142636734,0.0,99.2158739148691,0.0,100.0,0.243147441092894,0.3632564180182995,249,3.859111193570752,0.0400000005960464,0.0300000011920928,0.0400000005960464,0.0400000005960464,0.0400000005960464,0.3968000030517578,0.4088000106811523,0.424900016784668,0.437599983215332,0.978009965057197,0.9999999984947952,16.828325271606445,16.83098030090332,16.83315086364746,0.1102999973297119,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120
2013-07-12,True,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,99.95410469987404,0.0,100.0,0.0,0.0,0,4.19209624342086,0.05,,,,,0.5968000030517578,0.6034000015258789,0.6125,0.6195999908447266,0.9695894292831326,0.9999999993181128,16.51384162902832,16.516529083251953,16.518722534179688,0.1770000076293945,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119
2013-07-13,True,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0,4.027068462116847,0.0400000005960464,,,,,0.5795999908447266,0.5900999832153321,0.597400016784668,0.6031000137329102,359.21151926539824,0.9999999993662494,17.87338638305664,17.87601089477539,17.87823486328125,0.2571999931335449,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118
2013-07-14,True,100.0,100.0,100.0,100.0,0.9579423281611608,2.17270303787827,0.7167478785629889,96.15260675539758,96.86935463396055,0.0,88.79080531604285,0.0,100.0,0.9579423281611608,1.1337115626861445,981,3.881570595760055,0.0400000005960464,0.0300000011920928,0.0400000005960464,0.05,0.1299999952316284,0.3706000137329102,0.3886000061035156,0.4013999938964844,0.4111999893188476,359.2012748650929,0.9999999982405496,17.560138702392578,17.56276512145996,17.564926147460938,0.3488999938964844,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117
2013-07-15,True,100.0,100.0,100.0,100.0,4.796547111037332,2.6638803988008632,0.9345064302244964,91.60506605993731,92.5395724901618,0.0,74.25078363783726,0.0,100.0,4.796547111037332,6.19293602976359,4912,4.015350513148515,0.0300000011920928,0.0200000002980232,0.0300000011920928,0.0300000011920928,0.0400000005960464,0.0256999993324279,0.0507000017166137,0.0690999984741211,0.0840999984741211,359.3358782497353,0.999963980738498,17.246458053588867,17.24908447265625,17.25124740600586,0.4493999862670899,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116
2013-07-16,True,100.0,100.0,100.0,100.0,0.5077777886277305,0.5009423183962034,0.2372884666087279,98.75399142636734,98.99127989297608,0.0,99.3711367386995,0.0,100.0,0.5077777886277305,0.5868739441639731,520,3.97238470026463,0.0400000005960464,0.0300000011920928,0.0300000011920928,0.0400000005960464,0.05,0.3023999977111816,0.3165999984741211,0.3363000106811523,0.3515999984741211,0.980731078623876,0.9999999972716898,16.93240737915039,16.9350643157959,16.937213897705078,0.5640999984741211,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115
2013-07-17,True,100.0,100.0,100.0,100.0,76.0133584618239,7.333483062681262,1.7664808069760858,14.886677668518752,16.653158475494838,0.0,21.04641284287207,0.0,100.0,76.0133584618239,78.00540978644038,77843,3.907935980938803,0.0400000005960464,0.0300000011920928,0.0400000005960464,0.05,0.0699999988079071,0.5427999877929688,0.5508000183105469,0.5615999984741211,0.5702999877929688,0.9723235637799236,0.9999999992235536,16.61850929260254,16.621196746826172,16.623390197753906,0.6705999755859375,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114
2013-07-18,True,100.0,100.0,100.0,100.0,98.8223461286826,0.6034743718691106,0.1083910279570732,0.4657884714912066,0.5741794994482798,0.0,0.1142500024412393,0.0,100.0,98.8223461286826,99.42582050055172,101201,4.50848086556583,0.0400000005960464,0.0300000011920928,0.0400000005960464,0.05,0.0899999976158142,0.6270000076293946,0.6358000183105469,0.6422000122070313,0.6469999694824219,359.2156850401463,0.9999998576148408,17.97811508178711,17.98075294494629,17.98296356201172,0.7722000122070313,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113
