block,spatial_ref,quantile,current_radiance,matched_baseline_radiance,recovery_pct,recovery_low_pct,recovery_high_pct,spatial_coverage_pct,valid_pixel_count,date_start,date_end,date_mid,mean_ntl,observation_status,unit_name,unit_type,method,aggregation_days,ghsl_mask,sc_threshold_pct
68,0,0.95,4.597559,12.914339,35.600418,21.133895874023438,54.4786262512207,94.11764705882354,16,2014-08-07,2014-08-10,2014-08-08 12:00:00,0.2873474359512329,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
69,0,0.95,,,,,,0.0,0,2014-08-11,2014-08-14,2014-08-12 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
70,0,0.95,17.22413,14.538079,118.475975,70.5601577758789,173.29425048828125,100.0,17,2014-08-15,2014-08-18,2014-08-16 12:00:00,1.013184154734892,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
71,0,0.95,12.016293,14.538079,82.65392,49.225791931152344,120.89750671386719,100.0,17,2014-08-19,2014-08-22,2014-08-20 12:00:00,0.7068407395306755,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
72,0,0.95,18.588875,14.538079,127.86334,76.15094757080078,187.02511596679688,100.0,17,2014-08-23,2014-08-26,2014-08-24 12:00:00,1.0934632245232077,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
73,0,0.95,4.466825,4.182631,106.794624,71.94651794433594,174.03504943847656,29.41176470588235,5,2014-08-27,2014-08-30,2014-08-28 12:00:00,0.8933650016784668,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
74,0,0.95,,,,,,0.0,0,2014-08-31,2014-09-03,2014-09-01 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
75,0,0.95,,,,,,0.0,0,2014-09-04,2014-09-07,2014-09-05 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
76,0,0.95,4.9503255,14.538079,34.050755,20.279441833496094,49.805877685546875,100.0,17,2014-09-08,2014-09-11,2014-09-09 12:00:00,0.2911956170025994,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
77,0,0.95,10.009747,13.491244,74.19439,43.88095474243164,106.79837799072266,94.11764705882354,16,2014-09-12,2014-09-15,2014-09-13 12:00:00,0.6256091594696045,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
78,0,0.95,,,,,,0.0,0,2014-09-16,2014-09-19,2014-09-17 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
79,0,0.95,48.196747,14.538079,331.52075,197.4421844482422,484.9138488769531,100.0,17,2014-09-20,2014-09-23,2014-09-21 12:00:00,2.8351027544806984,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
80,0,0.95,4.4435663,3.591733,123.7165,76.04747772216797,178.81715393066406,29.41176470588235,5,2014-09-24,2014-09-27,2014-09-25 12:00:00,0.888713264465332,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
81,0,0.95,10.7577505,10.808985,99.526,57.81348419189453,162.5546875,88.23529411764706,15,2014-09-28,2014-10-01,2014-09-29 12:00:00,0.7171833674112956,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
82,0,0.95,,,,,,0.0,0,2014-10-02,2014-10-05,2014-10-03 12:00:00,,not observable,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
83,0,0.95,6.889557,12.232503,56.321728,35.86440658569336,80.00328826904297,88.23529411764706,15,2014-10-06,2014-10-09,2014-10-07 12:00:00,0.45930379231770835,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
84,0,0.95,12.966338,14.538079,89.1888,53.11773681640625,130.45603942871094,100.0,17,2014-10-10,2014-10-13,2014-10-11 12:00:00,0.7627257739796358,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
85,0,0.95,17.34667,13.279338,130.62903,83.35964965820312,188.9971923828125,94.11764705882354,16,2014-10-14,2014-10-17,2014-10-15 12:00:00,1.0841668844223022,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
86,0,0.95,23.69375,14.538079,162.97717,97.06351470947266,238.3859405517578,100.0,17,2014-10-18,2014-10-21,2014-10-19 12:00:00,1.3937500224393957,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
87,0,0.95,28.965643,14.538079,199.2398,118.6602783203125,291.4271545410156,100.0,17,2014-10-22,2014-10-25,2014-10-23 12:00:00,1.703861348769244,observed,Alangalang Centre,POI 5×5,Reliability-qualified DNB-BRDF,4,G2,10.0
