block,spatial_ref,quantile,current_radiance,matched_baseline_radiance,recovery_pct,recovery_low_pct,recovery_high_pct,spatial_coverage_pct,valid_pixel_count,date_start,date_end,date_mid,mean_ntl,observation_status,unit_name,unit_type,method,aggregation_days,ghsl_mask,sc_threshold_pct
8,0,0.95,74.95607,191.62585,39.115845,29.2403564453125,53.030494689941406,93.13725490196079,95,2013-12-10,2013-12-13,2013-12-11 12:00:00,0.7890112625925164,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
9,0,0.95,50.211002,150.47427,33.368496,24.324058532714844,44.18486022949219,85.29411764705883,87,2013-12-14,2013-12-17,2013-12-15 12:00:00,0.5771379580442932,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
10,0,0.95,,,,,,0.0,0,2013-12-18,2013-12-21,2013-12-19 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
11,0,0.95,79.94812,159.437,50.14402,36.51390838623047,68.9856185913086,91.17647058823529,93,2013-12-22,2013-12-25,2013-12-23 12:00:00,0.8596572055611559,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
12,0,0.95,62.10961,167.25328,37.135063,27.36983299255371,50.390628814697266,95.09803921568627,97,2013-12-26,2013-12-29,2013-12-27 12:00:00,0.6403052733116543,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
13,0,0.95,24.555428,114.63344,21.420824,15.706768989562988,27.9053897857666,71.56862745098039,73,2013-12-30,2014-01-02,2013-12-31 12:00:00,0.33637571988040454,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
14,0,0.95,89.200386,196.1124,45.48432,33.80539321899414,61.7236213684082,100.0,102,2014-01-03,2014-01-06,2014-01-04 12:00:00,0.87451358869964,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
15,0,0.95,,,,,,0.0,0,2014-01-07,2014-01-10,2014-01-08 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
16,0,0.95,,,,,,0.0,0,2014-01-11,2014-01-14,2014-01-12 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
17,0,0.95,,,,,,0.0,0,2014-01-15,2014-01-18,2014-01-16 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
18,0,0.95,,,,,,0.0,0,2014-01-19,2014-01-22,2014-01-20 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
19,0,0.95,66.708435,187.90073,35.501957,26.416210174560547,47.90945816040039,98.03921568627452,100,2014-01-23,2014-01-26,2014-01-24 12:00:00,0.6670843505859375,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
20,0,0.95,74.740234,196.1124,38.110916,28.325246810913086,51.717689514160156,100.0,102,2014-01-27,2014-01-30,2014-01-28 12:00:00,0.7327473958333334,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
21,0,0.95,53.695892,196.1124,27.380163,20.349807739257812,37.155723571777344,100.0,102,2014-01-31,2014-02-03,2014-02-01 12:00:00,0.5264303169998468,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
22,0,0.95,109.888084,196.1124,56.03322,41.645668029785156,76.03880310058594,100.0,102,2014-02-04,2014-02-07,2014-02-05 12:00:00,1.077334160898246,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
23,0,0.95,28.312128,127.75455,22.161346,16.113388061523438,30.98025131225586,75.49019607843137,77,2014-02-08,2014-02-11,2014-02-09 12:00:00,0.3676899748963195,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
24,0,0.95,37.333504,196.1124,19.036789,14.148746490478516,25.833507537841797,100.0,102,2014-02-12,2014-02-15,2014-02-13 12:00:00,0.3660147423837699,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
25,0,0.95,41.758793,196.1124,21.293297,15.825855255126953,28.895658493041992,100.0,102,2014-02-16,2014-02-19,2014-02-17 12:00:00,0.40939993016860066,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
26,0,0.95,78.87239,118.38205,66.6253,49.56581497192383,92.52068328857422,68.62745098039215,70,2014-02-20,2014-02-23,2014-02-21 12:00:00,1.1267484392438616,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
27,0,0.95,117.96169,196.1124,60.150043,44.70542526245117,81.62545776367188,100.0,102,2014-02-24,2014-02-27,2014-02-25 12:00:00,1.1564871844123392,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
28,0,0.95,103.658676,196.1124,52.856766,39.284828186035156,71.72825622558594,100.0,102,2014-02-28,2014-03-03,2014-03-01 12:00:00,1.01626153085746,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
29,0,0.95,132.5837,196.1124,67.60597,50.24690628051758,91.7433853149414,100.0,102,2014-03-04,2014-03-07,2014-03-05 12:00:00,1.2998401417451746,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
30,0,0.95,127.76439,196.1124,65.14855,48.420475006103516,88.40858459472656,100.0,102,2014-03-08,2014-03-11,2014-03-09 12:00:00,1.2525920493929994,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
31,0,0.95,56.158527,181.63522,30.9183,22.9847469329834,42.094322204589844,94.11764705882354,96,2014-03-12,2014-03-15,2014-03-13 12:00:00,0.5849846601486206,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
32,0,0.95,43.291214,191.21289,22.640324,16.80504608154297,30.791399002075195,99.01960784313725,101,2014-03-16,2014-03-19,2014-03-17 12:00:00,0.42862588108176053,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
33,0,0.95,,,,,,0.0,0,2014-03-20,2014-03-23,2014-03-21 12:00:00,,not observable,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
34,0,0.95,110.43766,196.1124,56.31345,41.853946685791016,76.41908264160156,100.0,102,2014-03-24,2014-03-27,2014-03-25 12:00:00,1.0827221589929916,observed,Palo,City/municipality,Reliability-qualified DNB-BRDF,4,G2,10.0
